NOMBRE,CATEGORIA,COD_REG,NOM_REG,COD_PROV,NOM_PROV,COD_COM,NOM_COM,COD_DIS,NOM_DIS,ID,Norte,Este UTM Huso 19 Sur,point_latitude,point_longitude
Quebrada Encantada,Otros,01,Tarapacß,012,Arica,01201,Arica,0120117,Pedro Blanquier,1,7959889.61309000000,364324.79266200000,-18.44689119,-70.28480452
Gallinazos,Otros,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,2,7965284.76132000000,360993.41889000000,-18.39792522,-70.31597477
Puerta Las AmÚricas,Caserio,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,3,7965498.64794000000,362930.33110600000,-18.39611856,-70.29762705
Valle Hermoso,Otros,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,4,7965320.05383000000,363512.41560800000,-18.39776985,-70.29212957
Porvenir,Otros,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,5,7963950.83234000000,369095.13515100000,-18.41049409,-70.23937572
El Morro,Caserio,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,6,7963759.00903000000,370100.55383600000,-18.41228928,-70.2298706
Alberto Jordan,Otros,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,7,7964085.23459000000,374805.07511500000,-18.40962445,-70.18531579
La Libanesa,Otros,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,8,7963793.82700000000,372422.12822700000,-18.41211563,-70.20789168
Molle Pampa (p),Otros,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,9,7964924.17856000000,380292.98576000000,-18.40236029,-70.13331561
Asentamiento Alberto Jordßn,Caserio,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,10,7964772.75493000000,379223.50291200000,-18.40366799,-70.1434484
Rosario,Caserio,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,11,7964235.33642000000,381478.62263900000,-18.4086516,-70.12213262
Las Palmas,Caserio,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,12,7961445.97506000000,384350.91404900000,-18.4340165,-70.09510165
Santa Rosa,Otros,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,13,7959109.90606000000,395869.34567600000,-18.45572511,-69.98616461
Linderos,Otros,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,14,7960808.36482000000,394882.19998700000,-18.44032756,-69.99542386
Jai±a,Caserio,01,Tarapacß,011,Iquique,01104,Huara,0110407,Chiapa,15,7837699.94198000000,474285.50129700000,-19.55538699,-69.24514271
Illalla,Caserio,01,Tarapacß,011,Iquique,01104,Huara,0110407,Chiapa,16,7838165.08338000000,476337.30613100000,-19.55120897,-69.22557662
Chiapa,Caserio,01,Tarapacß,011,Iquique,01104,Huara,0110407,Chiapa,17,7840042.20176000000,478197.51352800000,-19.53426656,-69.20782163
Sotoca,Caserio,01,Tarapacß,011,Iquique,01104,Huara,0110407,Chiapa,18,7833480.47663000000,475266.22894600000,-19.59353092,-69.23584873
Achuma,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,19,7941793.25229000000,452379.97156000000,-18.6142584,-69.45141355
Cuilco,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,20,7940933.90020000000,452212.29310400000,-18.62202121,-69.45302358
Upuya,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,21,7941007.25952000000,453165.96432600000,-18.62137975,-69.44398133
Timalchaca,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,22,7936912.86258000000,452534.68091900000,-18.65836969,-69.45006314
Bausire,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,23,7937102.53799000000,451911.04616800000,-18.65664119,-69.45597169
Chucasi±a,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,24,7940809.21876000000,446611.32774600000,-18.62301274,-69.50612216
Tignamar,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,25,7945325.96425000000,447434.58304000000,-18.58221246,-69.49819919
Oxa,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,26,7947681.46398000000,445648.48363800000,-18.56087859,-69.51506289
Estrella,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,27,7948925.72309000000,444424.94526900000,-18.54960131,-69.52662292
San Ramon,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,28,7946875.83268000000,446538.63588400000,-18.56818252,-69.50664908
Saxamar,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,29,7960924.43147000000,435460.26045800000,-18.4409051,-69.6111832
Taipicahue,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,30,7945839.93126000000,451334.20963800000,-18.57766136,-69.46122813
Tangane,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130107,Tignamar,31,7947164.32847000000,452863.12404100000,-18.56572658,-69.44670706
Subestaci¾n Lagunas,Otros,01,Tarapacß,011,Iquique,01106,Pozo Almonte,0110607,Buenaventura,32,7698253.02924000000,427933.96520500000,-20.81426636,-69.69255144
Bellavista,Otros,01,Tarapacß,011,Iquique,01106,Pozo Almonte,0110607,Buenaventura,33,7702594.57906000000,433281.48389400000,-20.775239,-69.64099884
Campamento Victoria,Otros,01,Tarapacß,011,Iquique,01106,Pozo Almonte,0110607,Buenaventura,34,7710755.41009000000,426550.24719100000,-20.70125043,-69.70532397
Ex Oficina Victoria,Caserio,01,Tarapacß,011,Iquique,01106,Pozo Almonte,0110607,Buenaventura,35,7706530.47591000000,431985.33840000000,-20.73963001,-69.65329815
Poconchile,Caserio,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,36,7959133.19410000000,394357.46525800000,-18.45543967,-70.00047999
Santa Rosa (p),Caserio,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,37,7964406.61719000000,394656.99327400000,-18.40779944,-69.99736878
Guanta,Otros,01,Tarapacß,012,Arica,01201,Arica,0120115,Chacalluta,38,7964466.13438000000,389754.26450600000,-18.40701237,-70.04377815
Arancha,Caserio,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,39,7964808.35824000000,396405.31081700000,-18.40425507,-69.98079727
Boca Negra,Otros,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,40,7966317.89279000000,398820.99651200000,-18.39073004,-69.9578534
Buena Vista,Otros,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,41,7967611.24395000000,400470.41196300000,-18.37911994,-69.94217658
Guanta Sur,Otros,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,42,7968138.71363000000,402819.90441100000,-18.37446194,-69.91991246
Tocontase,Otros,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,43,7968377.03878000000,404137.02766500000,-18.372368,-69.90743439
Chapisca,Caserio,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,44,7968474.54719000000,404806.82567300000,-18.37151691,-69.90109011
La Palma,Otros,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,45,7969590.89144000000,406064.00316300000,-18.36148423,-69.88913918
Molinos,Caserio,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,46,7970624.82440000000,407480.86763500000,-18.35220246,-69.87568208
Quebrada Cardones,Otros,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,47,7957303.41632000000,411271.58564800000,-18.47275317,-69.84039044
Cuesta El ßguila,Otros,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,48,7958892.29010000000,407491.46286500000,-18.45823214,-69.87611794
Central,Otros,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,49,7969762.61394000000,398713.07437500000,-18.35959489,-69.95870297
Puro Chile,Caserio,01,Tarapacß,012,Arica,01201,Arica,0120116,Molinos,50,7990376.11358000000,421352.41959900000,-18.17425577,-69.74363806
Bajo Molle,Caserio,01,Tarapacß,011,Iquique,01101,Iquique,0110112,La Tirana,51,7755398.35611000000,382129.20809200000,-20.29565323,-70.12888236
Tres Islas,Caserio,01,Tarapacß,011,Iquique,01101,Iquique,0110112,La Tirana,52,7754847.46047000000,381552.88650200000,-20.30059467,-70.13443739
Cerro Colorado,Otros,01,Tarapacß,011,Iquique,01101,Iquique,0110112,La Tirana,53,7753908.11278000000,381425.75674000000,-20.3090734,-70.13571669
Playa Blanca,Caserio,01,Tarapacß,011,Iquique,01101,Iquique,0110112,La Tirana,54,7751407.69793000000,380589.70198300000,-20.33161137,-70.14388936
Alto Playa Blanca,Caserio,01,Tarapacß,011,Iquique,01101,Iquique,0110112,La Tirana,55,7751133.03487000000,380305.22952000000,-20.33407497,-70.14663234
Punta Gruesa,Caserio,01,Tarapacß,011,Iquique,01101,Iquique,0110112,La Tirana,56,7748796.62412000000,377961.20307800000,-20.35503441,-70.16924258
Chaca,Otros,01,Tarapacß,012,Arica,01201,Arica,0120113,Chaca,57,7919041.23691000000,379138.62121700000,-18.81690441,-70.14701793
Chilcaya Alto,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130108,Surire,58,7922936.91897000000,492879.74060400000,-18.78521047,-69.06756476
Borax,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130108,Surire,59,7921467.13491000000,493677.25850800000,-18.79849679,-69.06000175
Chillßn Viejo,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130108,Surire,60,7920385.17277000000,503982.39236800000,-18.80828124,-68.96220558
Chulluncane,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130108,Surire,61,7915409.04887000000,485494.33227600000,-18.85320763,-69.13770081
Chulluncane,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130108,Surire,62,7914974.36135000000,484534.99873600000,-18.85712929,-69.14681106
Surire Conaf,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130108,Surire,63,7908138.87782000000,489038.17828100000,-18.91893568,-69.10410008
Soga,Caserio,01,Tarapacß,011,Iquique,01104,Huara,0110408,Soga,64,7840666.54996000000,460244.29437900000,-19.52834656,-69.37893667
Quebrada de Aroma,Otros,01,Tarapacß,011,Iquique,01104,Huara,0110407,Chiapa,65,7836079.99995000000,464531.81818600000,-19.56987619,-69.33815648
Cuya,Caserio,01,Tarapacß,012,Arica,01202,Camarones,0120205,Cuya,66,7886376.02488000000,381645.71962900000,-19.11221111,-70.12520659
Murmuntani Bajo,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,67,7970487.05428000000,441367.73028700000,-18.35465157,-69.5549654
Murmuntani Alto,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,68,7970977.93512000000,441618.17969700000,-18.35022194,-69.55258082
Ventullo,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,69,7970282.19395000000,441250.69573700000,-18.35649985,-69.55607904
Ancabullo,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,70,7969852.24517000000,441171.32057800000,-18.36038347,-69.55684278
Agua Santa,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,71,7969534.74453000000,440701.68421800000,-18.36323996,-69.56129724
Epispacha,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,72,7969541.17159000000,439388.01279100000,-18.36314482,-69.57373135
Chusmiza,Otros,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,73,7968508.79522000000,439351.76439200000,-18.37247424,-69.57410531
Chapiqui±a,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,74,7966188.59146000000,443459.66706600000,-18.39355725,-69.53528529
Central HidroelÚctrica,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,75,7967008.63770000000,442532.47800100000,-18.38612088,-69.54403974
Caillama,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,76,7965528.82301000000,442096.81479400000,-18.39948339,-69.54820628
Pachama,Caserio,01,Tarapacß,013,Parinacota,01301,Putre,0130105,BelÚn,77,7962191.86446000000,444235.54160300000,-18.42969967,-69.52805022
